,AdmissionYear,AdmissionMonth,MonthCode,AdmissionType,CountyOfCommitment,LastKnownResidenceCounty,Gender,AgeOfAdmission,MostSeriousCrime,AgeRange,Borough
0,2018,JANUARY,1,NEW COURT COMMITMENT,BRONX,MISSING,MALE,40,CPCS 3RD,25-44,BRONX
1,2018,JANUARY,1,NEW COURT COMMITMENT,ALBANY,MISSING,MALE,17,ASSAULT 2ND,< 18,NA
2,2018,JANUARY,1,NEW COURT COMMITMENT,ALBANY,MISSING,MALE,17,ASSAULT 2ND,< 18,NA
3,2018,JANUARY,1,NEW COURT COMMITMENT,ALBANY,MISSING,MALE,20,CPCS 5TH,18-24,NA
4,2018,JANUARY,1,NEW COURT COMMITMENT,ALBANY,MISSING,MALE,21,CPCS 3RD,18-24,NA
5,2018,JANUARY,1,NEW COURT COMMITMENT,ALBANY,MISSING,MALE,21,AGG.CRIMINAL CONTEMPT,18-24,NA
6,2018,JANUARY,1,NEW COURT COMMITMENT,ALBANY,MISSING,MALE,22,ROBBERY 2ND,18-24,NA
7,2018,JANUARY,1,NEW COURT COMMITMENT,ALBANY,MISSING,MALE,22,POS FORGE DEVICE,18-24,NA
8,2018,JANUARY,1,NEW COURT COMMITMENT,ALBANY,MISSING,MALE,23,RAPE 2ND 2007,18-24,NA
9,2018,JANUARY,1,NEW COURT COMMITMENT,ALBANY,MISSING,MALE,23,C POS WEAPON 2ND,18-24,NA
10,2018,JANUARY,1,NEW COURT COMMITMENT,ALBANY,MISSING,MALE,24,CRIM SEX ACT 2ND 2007,18-24,NA
11,2018,JANUARY,1,NEW COURT COMMITMENT,ALBANY,MISSING,MALE,25,ROBBERY 2ND,25-44,NA
12,2018,JANUARY,1,NEW COURT COMMITMENT,ALBANY,MISSING,MALE,25,FORGERY 2ND,25-44,NA
13,2018,JANUARY,1,NEW COURT COMMITMENT,ALBANY,MISSING,MALE,25,C POS WEAPON 2ND,25-44,NA
14,2018,JANUARY,1,NEW COURT COMMITMENT,ALBANY,MISSING,MALE,26,BURGLARY 1ST,25-44,NA
15,2018,JANUARY,1,NEW COURT COMMITMENT,ALBANY,MISSING,MALE,26,CPCS 3RD,25-44,NA
16,2018,JANUARY,1,NEW COURT COMMITMENT,ALBANY,MISSING,MALE,26,CPCS 4TH,25-44,NA
17,2018,JANUARY,1,NEW COURT COMMITMENT,ALBANY,MISSING,MALE,27,IDENTITY THEFT 1,25-44,NA
18,2018,JANUARY,1,NEW COURT COMMITMENT,ALBANY,MISSING,MALE,27,CONTEMPT 1ST,25-44,NA
19,2018,JANUARY,1,NEW COURT COMMITMENT,ALBANY,MISSING,MALE,30,CONTEMPT 1ST,25-44,NA
20,2018,JANUARY,1,NEW COURT COMMITMENT,ALBANY,MISSING,MALE,31,GRAND LARCEN 3RD,25-44,NA
21,2018,JANUARY,1,NEW COURT COMMITMENT,ALBANY,MISSING,MALE,31,C POS WEAPON 2ND,25-44,NA
22,2018,JANUARY,1,NEW COURT COMMITMENT,ALBANY,MISSING,MALE,32,C POS WEAPON 2ND,25-44,NA
23,2018,JANUARY,1,NEW COURT COMMITMENT,ALBANY,MISSING,MALE,33,CPCS 4TH,25-44,NA
24,2018,JANUARY,1,NEW COURT COMMITMENT,ALBANY,MISSING,MALE,35,CSCS 3RD,25-44,NA
25,2018,JANUARY,1,NEW COURT COMMITMENT,ALBANY,MISSING,MALE,35,CPCS 5TH,25-44,NA
26,2018,JANUARY,1,NEW COURT COMMITMENT,ALBANY,MISSING,MALE,36,AGGR DWI:2 PRIOR 10 YR,25-44,NA
27,2018,JANUARY,1,NEW COURT COMMITMENT,ALBANY,MISSING,MALE,37,ROBBERY 2ND,25-44,NA
